PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=633 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=621 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=632 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=619 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=612 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=623 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=629 ms
64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=618 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=639 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=667 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=665 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=700 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=738 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=715 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=718 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=730 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=694 ms
64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=653 ms
64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=681 ms
64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=666 ms
64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=655 ms
64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=656 ms
64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=682 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=695 ms
64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=677 ms
64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=625 ms
64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=604 ms
64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=588 ms
64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=564 ms
64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=578 ms
64 bytes from 10.0.0.2: icmp_seq=316 ttl=64 time=592 ms
64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=561 ms
64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=582 ms
64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=568 ms
64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=565 ms
64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=575 ms
64 bytes from 10.0.0.2: icmp_seq=322 ttl=64 time=568 ms
64 bytes from 10.0.0.2: icmp_seq=323 ttl=64 time=580 ms
64 bytes from 10.0.0.2: icmp_seq=324 ttl=64 time=591 ms
64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=572 ms
